 	il	vient	d'	emprunter	de	l'	argent	à	son	oncle	</S>
a87	0.155366	0.10607	0.14449	0.140772	0.143927	0.121007	0.0818123	0.0423332	0.0274774	0.0211076	0.015637
a23	0.186861	0.132327	0.19937	0.115728	0.0884068	0.063227	0.0481953	0.035835	0.0372127	0.0430616	0.0497753
a87	0.112929	0.122973	0.184111	0.146935	0.0757293	0.0566482	0.0537181	0.0444386	0.048986	0.0596792	0.0938522
a23	0.151092	0.153611	0.197348	0.171503	0.0652617	0.0414078	0.0351956	0.0317765	0.03539	0.0462054	0.0712085
a99	0.120828	0.125295	0.189436	0.183523	0.0718705	0.0500698	0.0511561	0.0418985	0.0431001	0.0545512	0.0682723
a30	0.140471	0.133518	0.150946	0.123384	0.061513	0.0491998	0.0597089	0.0553749	0.0567279	0.0787062	0.0904492
a90	0.200391	0.184872	0.154283	0.0839297	0.0542939	0.0458353	0.0568913	0.0438755	0.0418924	0.0568197	0.0769159
a25	0.268552	0.231252	0.181154	0.13681	0.0673342	0.0339758	0.0206004	0.0128852	0.0119339	0.0136524	0.0218505
a69	0.181809	0.163146	0.153581	0.227659	0.10456	0.0556617	0.0330909	0.0199999	0.0169533	0.0179604	0.025579
a4	0.137075	0.143721	0.146669	0.203712	0.103412	0.0647698	0.0449553	0.0324279	0.0301207	0.0357901	0.057347
a93	0.101687	0.120034	0.127987	0.203004	0.118602	0.0828123	0.053282	0.038811	0.035734	0.0422845	0.0757619
a56	0.0868366	0.109347	0.12407	0.209075	0.119765	0.0875835	0.0595306	0.0465694	0.040979	0.044444	0.0717997
a13	0.129376	0.14362	0.145146	0.18893	0.100023	0.0783015	0.0523297	0.0376927	0.0327779	0.0340534	0.0577503
a62	0.076861	0.103696	0.128329	0.190233	0.109362	0.0961342	0.0693201	0.0530947	0.0462268	0.0507282	0.0760142
a75	0.083653	0.112243	0.139314	0.186588	0.107632	0.096024	0.0703714	0.0553816	0.0466586	0.0434037	0.0587316
a66	0.104072	0.119621	0.125073	0.126957	0.0773143	0.0872847	0.0816135	0.0726183	0.0668002	0.0634746	0.0751717
a38	0.0391327	0.0520872	0.0645915	0.0761864	0.085501	0.111727	0.112252	0.104284	0.101361	0.108875	0.144002
a98	0.0300252	0.0410825	0.0494768	0.0439481	0.0574074	0.0919966	0.118766	0.133461	0.137482	0.135941	0.160413
a15	0.0418604	0.0507741	0.0483704	0.0353971	0.0372137	0.0655448	0.0967813	0.116031	0.136019	0.173294	0.198713
a94	0.0370967	0.0418654	0.0360583	0.0289557	0.0290642	0.0499787	0.0791191	0.102607	0.129373	0.19985	0.266033
a66	0.0266564	0.03114	0.028545	0.02104	0.0218716	0.0400833	0.0866629	0.138944	0.163906	0.206189	0.234962
a76	0.032199	0.0375173	0.042474	0.0314619	0.0258955	0.0452627	0.0972526	0.150549	0.15742	0.170909	0.209059
a94	0.0323193	0.033259	0.0247607	0.017485	0.0192318	0.0318686	0.0577325	0.0982346	0.127525	0.217711	0.339872
a90	0.0135818	0.0147164	0.0128941	0.0092472	0.0125034	0.0254369	0.0680237	0.141032	0.185546	0.23947	0.277549
a66	0.025502	0.0254731	0.0205792	0.0135291	0.0165133	0.0292001	0.0628697	0.115531	0.148878	0.233812	0.308112
a90	0.0123126	0.0126405	0.0113504	0.0076937	0.0117994	0.0244518	0.0619929	0.124048	0.167641	0.242358	0.323712
a15	0.010097	0.0111452	0.0103844	0.00736508	0.0113353	0.0242938	0.0633948	0.128525	0.177347	0.251997	0.304115
a56	0.0120786	0.0120909	0.0127964	0.01004	0.0132779	0.0192172	0.0368207	0.0797661	0.133624	0.267504	0.402784
a96	0.0118624	0.0121456	0.0112164	0.00687608	0.0103051	0.0197938	0.0447001	0.0955481	0.152034	0.245298	0.390221
a90	0.00630723	0.00623268	0.0058366	0.00381801	0.00525869	0.00997784	0.0245535	0.0612665	0.118273	0.250147	0.508329
a56	0.00272634	0.00297984	0.0033423	0.00225796	0.00424606	0.00857332	0.0214386	0.0549049	0.111441	0.250415	0.537675
a70	0.00352767	0.00378602	0.0038938	0.00233121	0.00407039	0.00759132	0.0183951	0.0499404	0.107351	0.254596	0.544517
a96	0.000673501	0.000686033	0.00100741	0.000698472	0.00178203	0.00356656	0.0105344	0.0370462	0.098347	0.257447	0.588211
a25	0.00154154	0.0015291	0.00206234	0.00127701	0.00241614	0.00425334	0.0107358	0.0324622	0.0836237	0.254137	0.605962
a69	0.000294503	0.000291697	0.000415708	0.0002511	0.000728418	0.00170268	0.00639547	0.0251383	0.0722018	0.217266	0.675314
a53	0.000306007	0.000395928	0.000534871	0.000341652	0.000940529	0.00196983	0.00610296	0.0236969	0.0698118	0.228553	0.667347
a20	0.000550902	0.00072546	0.000922525	0.000571724	0.00135343	0.00276822	0.00743922	0.0249719	0.0681408	0.214663	0.677893
a7	0.000637063	0.000893278	0.00137125	0.00091106	0.00199988	0.00391679	0.00967384	0.0283248	0.0714911	0.230533	0.650248
a57	0.000420306	0.000455567	0.000800909	0.000608875	0.00234912	0.00521448	0.015392	0.0439111	0.104508	0.283819	0.54252
a87	0.0110236	0.00822714	0.00930351	0.00519635	0.0102996	0.014081	0.0296021	0.0620371	0.127911	0.321142	0.401177
a23	0.0842327	0.0691831	0.0724644	0.0508013	0.052413	0.0579117	0.0874166	0.108897	0.127343	0.159496	0.129841
a87	0.0283089	0.0254526	0.0227987	0.0101867	0.021178	0.0300582	0.0730439	0.123432	0.163568	0.21918	0.282793
a10	0.00786629	0.00866078	0.00974883	0.00653569	0.0163802	0.0278693	0.0652414	0.0970766	0.145924	0.245048	0.369649
a9	0.0500414	0.0488921	0.0516707	0.0413121	0.0517345	0.0580199	0.0775384	0.0787384	0.101549	0.158567	0.281936
a87	0.0757709	0.0776436	0.0915961	0.076126	0.0823391	0.0696606	0.0739659	0.0665748	0.0786239	0.116472	0.191227
</S>	0.0684701	0.0579598	0.0536286	0.0377172	0.0518541	0.0585013	0.0716718	0.0713317	0.0876542	0.140366	0.300846
