 	il	aime	manger	les	arachides	</S>
a23	0.423462	0.230541	0.103128	0.0778735	0.0833495	0.0816459
a87	0.485119	0.265218	0.0984419	0.0424182	0.0429909	0.0658119
a23	0.40704	0.295614	0.127123	0.054324	0.0483247	0.0675742
a79	0.441657	0.285248	0.0820123	0.0397007	0.0520103	0.0993711
a20	0.538768	0.28001	0.0662248	0.0403591	0.0348155	0.039823
a73	0.560033	0.278349	0.0872565	0.0362489	0.0203364	0.0177759
a26	0.450236	0.31093	0.14498	0.0509957	0.0240524	0.0188062
a24	0.310566	0.298196	0.21174	0.0957032	0.0476519	0.0361438
a43	0.293733	0.269767	0.215637	0.122164	0.057101	0.0415983
a73	0.20684	0.262379	0.237951	0.152297	0.0784815	0.0620505
a84	0.201862	0.253142	0.238894	0.146784	0.0850156	0.0743026
a53	0.127015	0.162891	0.173034	0.163847	0.163727	0.209487
a76	0.170765	0.21848	0.193059	0.148668	0.13196	0.137068
a32	0.196178	0.21387	0.211677	0.167428	0.119756	0.0910916
a76	0.0860044	0.124329	0.19133	0.243515	0.195325	0.159497
a69	0.0586346	0.0901231	0.170358	0.234723	0.225971	0.220191
a58	0.0757248	0.090169	0.132228	0.210084	0.225584	0.26621
a38	0.0266487	0.0384538	0.065117	0.171487	0.298657	0.399636
a73	0.0181963	0.0266113	0.0514388	0.170011	0.307612	0.42613
a94	0.0175324	0.025578	0.0501646	0.160574	0.319994	0.426158
a11	0.0151277	0.0207728	0.0353701	0.111432	0.304292	0.513006
a90	0.0100788	0.0137835	0.0241763	0.0828541	0.283386	0.585721
a4	0.0102391	0.0150215	0.0258337	0.0831197	0.265949	0.599837
a57	0.00993796	0.0134261	0.0216624	0.0708573	0.25138	0.632736
a3	0.00543511	0.00665498	0.0112949	0.0438596	0.206409	0.726346
a87	0.00904967	0.00937775	0.0141843	0.0401549	0.187821	0.739412
</S>	0.0127349	0.0144302	0.0268228	0.0825862	0.248931	0.614495
