 	le	malade	veut	manger	de	l'	oseille	</S>
a66	0.239218	0.171355	0.154094	0.146684	0.139898	0.0924545	0.0366039	0.0196917
a87	0.325765	0.143585	0.0759896	0.0929439	0.115989	0.109753	0.0737391	0.0622361
a23	0.472771	0.22152	0.0719669	0.0632478	0.0485521	0.0430759	0.0403906	0.0384761
a79	0.339991	0.172554	0.0794655	0.0865964	0.085308	0.0910467	0.0801708	0.0648682
a58	0.257348	0.167739	0.0722918	0.0770085	0.0956109	0.111964	0.106927	0.111111
a53	0.192925	0.176021	0.0884184	0.0787661	0.0960467	0.120402	0.132608	0.114813
a79	0.217034	0.24616	0.140896	0.102034	0.0906459	0.0891371	0.0690612	0.0450319
a44	0.164057	0.231662	0.190832	0.136125	0.100234	0.0805778	0.0578893	0.0386231
a93	0.130986	0.211218	0.202891	0.139344	0.0958366	0.0779102	0.0775518	0.0642621
a34	0.142864	0.197036	0.212161	0.149195	0.0956379	0.0690992	0.0665682	0.0674386
a75	0.114025	0.156543	0.201753	0.161346	0.115176	0.0842005	0.0795031	0.0874542
a79	0.0638801	0.100056	0.153391	0.151912	0.156088	0.145252	0.124324	0.105097
a7	0.0773369	0.120192	0.18736	0.179396	0.149994	0.116999	0.0887762	0.0799461
a90	0.0678106	0.097935	0.168919	0.182529	0.135669	0.099649	0.102808	0.14468
a56	0.0596446	0.0824136	0.143209	0.17341	0.154996	0.131545	0.123706	0.131075
a90	0.0309996	0.0379868	0.0933881	0.147973	0.172781	0.169946	0.16024	0.186685
a44	0.0307597	0.0428252	0.101916	0.158465	0.187913	0.183797	0.157905	0.136419
a75	0.0224125	0.0263394	0.0598017	0.110903	0.156333	0.188245	0.21051	0.225454
a85	0.0124736	0.0157373	0.0389456	0.0717451	0.116917	0.154796	0.282427	0.306958
a6	0.0162833	0.0197966	0.0436241	0.0743201	0.115994	0.151101	0.268573	0.310307
a36	0.0073644	0.00947035	0.0260522	0.0531799	0.084754	0.125326	0.318853	0.375
a26	0.008548	0.0069643	0.00991668	0.0215963	0.0361451	0.0707097	0.281458	0.564662
a61	0.0116507	0.00862333	0.00803105	0.0143058	0.024537	0.0540079	0.277259	0.601585
a18	0.00378104	0.00337815	0.00568986	0.011268	0.0232872	0.052824	0.321143	0.578629
a27	0.00442568	0.00370264	0.00512232	0.0112026	0.0242407	0.0558969	0.24496	0.650449
a57	0.0323936	0.0198728	0.0201908	0.0282306	0.0441123	0.0774909	0.229379	0.54833
a87	0.101479	0.0494714	0.0455712	0.0581317	0.0808508	0.109653	0.205957	0.348886
a23	0.159297	0.0658616	0.0491009	0.0646158	0.08448	0.11713	0.206641	0.252873
a97	0.105127	0.0442568	0.0284591	0.0419581	0.0620715	0.112702	0.244366	0.36106
a87	0.0464992	0.0235611	0.0171906	0.0270388	0.0401307	0.0766171	0.250738	0.518224
a23	0.078651	0.0382432	0.0238193	0.0348513	0.0493619	0.0889629	0.237439	0.448671
a87	0.0847625	0.040994	0.0257563	0.0384588	0.0559177	0.0995691	0.237755	0.416786
</S>	0.0340107	0.0177462	0.0120806	0.0189068	0.0297389	0.0645564	0.246541	0.57642
