 	nous	venons	de	couper	des	lianes	dans	la	forêt	</S>
a66	0.350939	0.189448	0.105969	0.105543	0.0811697	0.0633255	0.0433836	0.0228471	0.0194284	0.0179462
a87	0.572382	0.229677	0.0858045	0.0339234	0.0258274	0.0197057	0.0115665	0.00665935	0.00650399	0.00795041
a23	0.418027	0.211596	0.126663	0.0794629	0.0528199	0.0371251	0.0241892	0.0142531	0.0147347	0.0211294
a99	0.333896	0.209227	0.158558	0.119632	0.0818598	0.0385589	0.0183375	0.0122612	0.012248	0.0154215
a50	0.368488	0.230151	0.144996	0.0950565	0.0537058	0.0283467	0.0175454	0.0153035	0.0188738	0.0275332
a0	0.254238	0.309153	0.206679	0.120353	0.0614474	0.0236453	0.0111033	0.00580051	0.00387582	0.00370473
a75	0.141658	0.264935	0.22825	0.151597	0.102377	0.0516103	0.0252584	0.0136298	0.0102928	0.0103915
a93	0.120017	0.247886	0.168941	0.145797	0.131317	0.0828306	0.0432647	0.0248564	0.0169103	0.018179
a56	0.0965392	0.205755	0.18303	0.167719	0.145794	0.093554	0.0459959	0.0248693	0.017797	0.018946
a90	0.0936039	0.180081	0.169295	0.171839	0.163063	0.108846	0.0488379	0.0255562	0.0188457	0.0200313
a4	0.0612004	0.129052	0.153408	0.17292	0.172445	0.128146	0.077287	0.0428118	0.0313717	0.0313587
a75	0.0530521	0.104086	0.138811	0.177965	0.176016	0.121694	0.0728573	0.0532527	0.0501694	0.0520967
a21	0.0287566	0.0499737	0.0933392	0.153655	0.192353	0.141895	0.117657	0.0831989	0.0699001	0.0692705
a61	0.0158186	0.0300148	0.0637617	0.109387	0.128937	0.105865	0.111675	0.121448	0.148796	0.164298
a56	0.0113677	0.017685	0.0340414	0.0726141	0.10695	0.127831	0.151547	0.138083	0.154454	0.185428
a43	0.00919181	0.0117053	0.0192894	0.0380742	0.0586886	0.0964353	0.174062	0.197998	0.187514	0.207041
a31	0.00711709	0.00854227	0.0136869	0.0237727	0.0395973	0.0733917	0.140553	0.206491	0.22289	0.263959
a0	0.00764647	0.00765628	0.0105954	0.0164675	0.0268901	0.0536729	0.110808	0.210404	0.267632	0.288228
a43	0.00342856	0.00390628	0.00558498	0.00736514	0.0106479	0.0196628	0.0419365	0.125848	0.288215	0.493405
a75	0.00274631	0.00243643	0.00269528	0.00395824	0.00571222	0.011976	0.0281829	0.0948238	0.267478	0.579991
a6	8.55877e-05	7.79099e-05	0.000142051	0.000246901	0.000696124	0.0021787	0.0121295	0.0856331	0.314891	0.583919
a36	0.000106392	8.80048e-05	0.000133341	0.000213942	0.000573016	0.00182391	0.0108747	0.0734879	0.286405	0.626294
a90	0.000435746	0.00036818	0.000424907	0.000563174	0.000965413	0.00289512	0.0107801	0.0457377	0.229938	0.707892
a4	0.000100398	7.49885e-05	0.00010721	0.000159567	0.000393708	0.0015161	0.00855555	0.0476907	0.252831	0.688571
a57	6.62558e-05	6.23482e-05	0.000106868	0.000175418	0.000448347	0.00186846	0.010663	0.0657156	0.305062	0.615832
a82	0.000225456	0.000178007	0.000222605	0.000288897	0.000746631	0.00274235	0.00992583	0.0466426	0.248864	0.690163
a87	0.0314293	0.018591	0.0198257	0.0209716	0.0368784	0.0516878	0.0663695	0.117091	0.234474	0.402682
a23	0.235161	0.135331	0.106015	0.0779776	0.071826	0.0586285	0.0537259	0.0647182	0.0887218	0.107895
a87	0.02381	0.00819656	0.00561797	0.00470774	0.00643422	0.012919	0.0430417	0.151767	0.35773	0.385777
</S>	0.0027926	0.00113472	0.00101756	0.000992869	0.00200849	0.00572728	0.0280489	0.124444	0.338457	0.495376
