 	le	pêcheur	a	tué	un	crocodile	dans	l'	étang	</S>
a66	0.277814	0.211898	0.0887298	0.0775372	0.0746509	0.0871124	0.0787343	0.0516348	0.0316191	0.0202697
a87	0.469225	0.175576	0.0683137	0.0543805	0.0429429	0.0580476	0.050766	0.0379519	0.0263674	0.0164297
a23	0.354818	0.207301	0.111753	0.0805533	0.051351	0.054347	0.0419951	0.0342698	0.0334342	0.0301786
a13	0.253266	0.158756	0.0895873	0.078367	0.0653551	0.0813225	0.0712745	0.0673385	0.065963	0.0687706
a53	0.17004	0.125619	0.0760796	0.0686117	0.0576221	0.0878232	0.091681	0.106181	0.109437	0.106905
a79	0.292608	0.236028	0.14396	0.0946423	0.0570937	0.0547831	0.0417164	0.0391016	0.0256716	0.0143954
a25	0.158958	0.160447	0.168881	0.136931	0.0862263	0.0822378	0.0677269	0.0682924	0.0472238	0.0230761
a79	0.11153	0.149117	0.22224	0.166935	0.101252	0.0733711	0.0514031	0.0499333	0.0418604	0.0323584
a44	0.0831966	0.130125	0.227356	0.172679	0.103959	0.0780174	0.0526881	0.0500594	0.0503534	0.0515659
a4	0.0934028	0.120932	0.18716	0.167228	0.113524	0.0854081	0.0582637	0.053786	0.0566739	0.0636218
a90	0.0908781	0.103686	0.155912	0.149353	0.120936	0.107969	0.0783811	0.0653503	0.0603919	0.067144
a94	0.0867471	0.0992638	0.156551	0.150183	0.125583	0.116714	0.0813025	0.0639387	0.0567504	0.0629667
a93	0.0507925	0.054763	0.092343	0.123028	0.135261	0.144661	0.113288	0.0910653	0.0832899	0.111508
a96	0.038194	0.0388565	0.0639613	0.0948133	0.127301	0.151737	0.128838	0.108246	0.104727	0.143326
a0	0.0273588	0.0248971	0.039896	0.0631016	0.100879	0.144791	0.147495	0.138366	0.135245	0.177972
a62	0.0142212	0.0138639	0.0183453	0.0295965	0.0618818	0.107298	0.145541	0.178122	0.201911	0.229219
a88	0.0062453	0.00610269	0.00779029	0.012319	0.0278986	0.0601709	0.116188	0.19142	0.291138	0.280726
a11	0.00206284	0.00208216	0.00259164	0.0047756	0.01155	0.0281475	0.0654538	0.136372	0.32253	0.424435
a93	0.00159779	0.00155337	0.00158273	0.00289524	0.00699995	0.0199922	0.0569915	0.125987	0.312095	0.470306
a94	0.00139009	0.00130188	0.0016599	0.00334181	0.00915143	0.023121	0.0491102	0.112365	0.291859	0.5067
a57	0.000431137	0.000403804	0.000488263	0.00118071	0.00359931	0.0111389	0.0323658	0.0912691	0.276267	0.582856
a3	0.00412574	0.00414004	0.00342763	0.00764773	0.0191206	0.0430323	0.0816425	0.143344	0.254109	0.439411
a87	0.0848537	0.0542545	0.0399816	0.0461594	0.0589976	0.0763864	0.108158	0.132589	0.170902	0.227717
a23	0.152585	0.0866249	0.054939	0.0619614	0.0835439	0.116232	0.133682	0.122337	0.102265	0.0858295
a87	0.0565369	0.0331876	0.0256832	0.0285801	0.049347	0.0875027	0.124966	0.177386	0.207646	0.209165
</S>	0.0222979	0.0147262	0.0153073	0.0186838	0.0294095	0.0459982	0.068741	0.132219	0.253791	0.398825
