 	leur	maman	est	malade	</S>
a66	0.367555	0.240027	0.174085	0.124364	0.0939684
a87	0.358847	0.235402	0.16387	0.12052	0.121361
a38	0.514287	0.19366	0.107145	0.0807306	0.104178
a96	0.519219	0.207273	0.11129	0.0824923	0.0797252
a90	0.403907	0.191736	0.125158	0.131434	0.147765
a25	0.246189	0.181511	0.157145	0.170862	0.244293
a15	0.242912	0.199565	0.169852	0.158707	0.228964
a98	0.177957	0.182065	0.179381	0.200635	0.259962
a85	0.159957	0.174899	0.180705	0.209121	0.275318
a6	0.187219	0.18983	0.175773	0.195818	0.251361
a92	0.168053	0.171406	0.171253	0.209201	0.280088
a37	0.118206	0.151747	0.183324	0.239452	0.307271
a12	0.117295	0.152195	0.178985	0.225676	0.325849
a47	0.0570887	0.103239	0.180408	0.270725	0.388539
a96	0.0402074	0.0790631	0.173731	0.302584	0.404414
a88	0.0171341	0.0338114	0.101071	0.29728	0.550703
a94	0.0131299	0.0247562	0.0716068	0.257224	0.633283
a90	0.00838398	0.0163291	0.0478625	0.217676	0.709749
a56	0.00615307	0.0131974	0.0475936	0.228429	0.704627
a94	0.00996677	0.0175307	0.0510196	0.214102	0.707381
a66	0.0122321	0.0221373	0.0652406	0.229946	0.670444
a71	0.0439437	0.0553412	0.11112	0.269207	0.520388
a9	0.0682118	0.063622	0.10308	0.25652	0.508566
a97	0.194053	0.126421	0.141631	0.205589	0.332306
a87	0.276076	0.167388	0.153807	0.166546	0.236183
a23	0.186435	0.12004	0.132812	0.197077	0.363636
a97	0.147003	0.108121	0.135919	0.20715	0.401807
</S>	0.0695949	0.0677553	0.116552	0.22423	0.521868
