 	la	tenue	qu'	elle	a	choisie	pour	le	deuil	est	de	couleur	noire	foncée	</S>
a66	0.0960324	0.115092	0.123351	0.184443	0.201376	0.0830637	0.0606019	0.0482005	0.0236399	0.0153213	0.0123807	0.0144495	0.00938976	0.00683914	0.00581921
a10	0.237908	0.213741	0.183075	0.166791	0.0758627	0.0295363	0.0144443	0.0143753	0.00966007	0.00712891	0.00714776	0.0113742	0.00856218	0.00898506	0.0114087
a87	0.192477	0.215314	0.185771	0.134122	0.0800285	0.0601162	0.035215	0.0391765	0.0146317	0.0092631	0.00644182	0.00831923	0.00530214	0.0063741	0.00744787
a79	0.21687	0.211754	0.188392	0.109439	0.0631038	0.0449934	0.0288216	0.0346329	0.0177084	0.0162898	0.0129802	0.0144065	0.0112391	0.0126938	0.0166764
a58	0.164799	0.156869	0.10941	0.0539979	0.0387706	0.030272	0.0423805	0.0804876	0.0512055	0.0523627	0.0486981	0.0545229	0.0319439	0.0381938	0.046087
a40	0.20437	0.234517	0.180392	0.107225	0.0699148	0.0594634	0.0326826	0.0282826	0.0127323	0.010432	0.0107396	0.013899	0.00886875	0.0122634	0.0142182
a98	0.147913	0.251059	0.201072	0.125031	0.0756686	0.0577691	0.0373748	0.0341546	0.0151851	0.0100892	0.0108539	0.0132218	0.00693244	0.0066003	0.0070753
a47	0.0811873	0.140816	0.151616	0.123525	0.0939284	0.115049	0.0777819	0.0608755	0.0308804	0.0219514	0.0231818	0.0255881	0.0175762	0.0167002	0.0193433
a98	0.0438002	0.10252	0.133734	0.125669	0.116051	0.194032	0.0995987	0.0643287	0.0268007	0.0170004	0.0156774	0.0182513	0.0118712	0.0128887	0.0177771
a79	0.0396208	0.0747443	0.109933	0.112051	0.101234	0.116993	0.0887029	0.0806742	0.056849	0.0432928	0.0400262	0.0420477	0.0265712	0.0284811	0.0387782
a90	0.0641916	0.0924824	0.0981352	0.089315	0.0815599	0.122719	0.0931703	0.0813197	0.0596529	0.0474669	0.039258	0.0469826	0.0304564	0.0248428	0.0284469
a69	0.0469641	0.0599837	0.0652132	0.0712722	0.0796789	0.14581	0.129566	0.111505	0.0782971	0.0597612	0.0386024	0.0428384	0.027044	0.0197027	0.0237599
a4	0.0245438	0.0243803	0.0275881	0.0370475	0.0546704	0.131608	0.155761	0.134397	0.103166	0.0867447	0.0535823	0.054942	0.0410713	0.0326899	0.0378076
a90	0.0241062	0.0219686	0.0278102	0.0410555	0.0580805	0.0969454	0.131723	0.115092	0.0961747	0.0892528	0.0593896	0.0659399	0.0639356	0.0523138	0.0562117
a69	0.013887	0.0119416	0.0154335	0.025296	0.0416375	0.0790944	0.119115	0.108389	0.113592	0.11036	0.0737265	0.0799527	0.0797901	0.0679848	0.059801
a94	0.00490551	0.00512165	0.00629101	0.00940161	0.018947	0.0481849	0.118528	0.121254	0.148109	0.145879	0.0947447	0.100769	0.0772202	0.0549843	0.0456616
a62	0.00411907	0.00498664	0.00629826	0.00812126	0.0128463	0.0183752	0.0594508	0.0733603	0.118393	0.133429	0.102699	0.135518	0.111294	0.0992865	0.111823
a83	0.00383656	0.00379215	0.00580978	0.00942383	0.0124123	0.0154348	0.0357988	0.0440035	0.0932461	0.0997702	0.0828589	0.118757	0.139273	0.156815	0.178768
a71	0.00287773	0.00285953	0.00439052	0.0066373	0.00936089	0.0128567	0.0325735	0.0443014	0.105454	0.13231	0.106294	0.139527	0.14021	0.129957	0.13039
a9	0.00266146	0.00310831	0.00376419	0.00454211	0.00660797	0.00841767	0.0160954	0.0214973	0.0548849	0.109043	0.109103	0.148554	0.15886	0.177985	0.174875
a53	0.00405241	0.00514387	0.00511291	0.0060728	0.0103322	0.0136909	0.0348463	0.0437864	0.0782501	0.113868	0.120255	0.140836	0.147568	0.129723	0.146461
a44	0.000812621	0.000907841	0.00109859	0.00131144	0.00166263	0.00150092	0.00344641	0.00627832	0.0299758	0.0700439	0.0812628	0.0985618	0.134834	0.223456	0.344847
a62	0.000316355	0.00034757	0.000463282	0.000617648	0.000873625	0.000891304	0.0018253	0.00304325	0.0157004	0.0457925	0.0573555	0.0697332	0.11116	0.254105	0.437775
a88	0.00035961	0.000291544	0.000432874	0.000761631	0.00112422	0.00130756	0.00211589	0.00265101	0.0108606	0.0318688	0.044361	0.0612306	0.0985126	0.256668	0.487454
a24	0.000227417	0.000178585	0.000281228	0.000524171	0.000976393	0.00170136	0.00259775	0.00292348	0.0108127	0.0301524	0.0390982	0.0549459	0.0913576	0.237378	0.526845
a9	0.000191707	0.000155616	0.000200938	0.000333408	0.000658738	0.00136017	0.00252006	0.00308717	0.0115157	0.0370306	0.0484812	0.0631878	0.102077	0.248302	0.480898
a53	0.00302417	0.00275067	0.00232148	0.00267777	0.00452356	0.00585285	0.0193524	0.0248588	0.0592942	0.0965952	0.0734623	0.0834705	0.147362	0.254273	0.220181
a4	0.000318013	0.000232033	0.000212888	0.000248495	0.000476467	0.000645829	0.00164778	0.00285181	0.0112652	0.0336992	0.0405663	0.0424132	0.0906637	0.269128	0.505631
a57	0.000210828	0.000169527	0.00016641	0.000228797	0.000527619	0.00080496	0.00234314	0.00329218	0.0114267	0.0327026	0.0413128	0.0502253	0.103291	0.289997	0.463301
a4	0.00145202	0.00117329	0.000896959	0.000868543	0.00165522	0.00358951	0.0141856	0.0164478	0.0390385	0.0801766	0.0774152	0.0838263	0.145645	0.269926	0.263703
a13	0.00226725	0.00175266	0.00135123	0.00132741	0.00253068	0.00623007	0.0213869	0.0257378	0.0544276	0.0950581	0.0850724	0.0846717	0.140536	0.243639	0.234011
a57	0.00138735	0.00113268	0.000917676	0.00089722	0.00189329	0.00429133	0.0158883	0.0202574	0.0469974	0.0868471	0.0856625	0.0869032	0.143674	0.245262	0.257988
a3	0.0159605	0.0123017	0.00810345	0.00792533	0.0111208	0.0200817	0.0437346	0.0490521	0.0798721	0.116287	0.0798622	0.0759805	0.117809	0.192558	0.16935
a87	0.051227	0.0505259	0.0399428	0.0384849	0.0412557	0.0338846	0.0520687	0.0647573	0.0846479	0.121419	0.0750727	0.0750399	0.0761131	0.101642	0.0939185
a23	0.040915	0.0419851	0.0367569	0.035249	0.0370956	0.0357818	0.0675827	0.0965396	0.114664	0.136522	0.079164	0.0741165	0.0604657	0.0758029	0.0673595
a99	0.00808731	0.00702405	0.00493404	0.00355879	0.00406703	0.00403982	0.0063834	0.0160582	0.0455439	0.0979578	0.0963041	0.100412	0.122452	0.21239	0.270787
a97	0.0110396	0.00914556	0.00624126	0.00427587	0.00559612	0.00743148	0.0140198	0.0277951	0.0448694	0.0832639	0.0869677	0.09747	0.11901	0.190976	0.291898
</S>	0.00754393	0.00640442	0.00448233	0.00316824	0.00488135	0.00753565	0.0150971	0.026264	0.0401201	0.0863807	0.0811848	0.0773887	0.0875718	0.186682	0.365295
