 	les	fourmis	rouges	sont	sur	l'	oranger	</S>
a66	0.392006	0.280076	0.104756	0.0615106	0.0577565	0.0528808	0.0337897	0.0172245
a87	0.515725	0.198272	0.048028	0.0413907	0.0537452	0.0745757	0.04778	0.0204839
a23	0.314869	0.160142	0.0701458	0.0664054	0.0936831	0.103777	0.113921	0.0770567
a40	0.146964	0.106781	0.0883236	0.106372	0.161317	0.173959	0.135983	0.0803008
a7	0.411835	0.266568	0.0783396	0.0452934	0.0498572	0.0708093	0.0523364	0.0249617
a40	0.340297	0.2714	0.173922	0.0886476	0.0504474	0.0395237	0.0238212	0.0119408
a47	0.261255	0.210095	0.167249	0.126166	0.0841307	0.085707	0.0488406	0.0165571
a36	0.121064	0.151249	0.244751	0.204003	0.114222	0.0916744	0.0509	0.0221361
a47	0.0676064	0.0943317	0.21252	0.239403	0.148539	0.119773	0.0755332	0.0422946
a85	0.0690168	0.0965746	0.226972	0.234826	0.153921	0.114123	0.0648399	0.0397267
a6	0.0643612	0.107113	0.211096	0.199522	0.154125	0.131986	0.0790619	0.0527356
a37	0.0618273	0.0808407	0.150274	0.189886	0.182267	0.166979	0.105071	0.0628557
a93	0.0416352	0.0496866	0.103447	0.148675	0.182905	0.187009	0.16695	0.119692
a4	0.0156309	0.0203051	0.0600395	0.110317	0.165462	0.183256	0.228191	0.216799
a11	0.00450541	0.00640022	0.0197169	0.0453377	0.100275	0.128639	0.225139	0.469988
a47	0.00141289	0.00135526	0.0032437	0.0117671	0.0349502	0.0603704	0.180675	0.706225
a62	0.00280736	0.00199248	0.00337645	0.0132579	0.03782	0.0811447	0.232674	0.626927
a0	0.00184185	0.00167895	0.00380772	0.0146589	0.0374532	0.0630145	0.195417	0.682128
a62	0.00898491	0.00600586	0.00893792	0.0304293	0.070566	0.131349	0.264726	0.479
a88	0.00611286	0.00463527	0.00819962	0.0257285	0.058928	0.105588	0.243138	0.54767
a71	0.00531052	0.00369543	0.00493998	0.0163854	0.0439319	0.0875026	0.21959	0.618644
a9	0.0400308	0.0320381	0.0392874	0.0750055	0.118004	0.15783	0.21057	0.327234
a87	0.233221	0.12767	0.080588	0.0994165	0.118229	0.127935	0.119517	0.0934234
a97	0.194738	0.128801	0.0894576	0.106711	0.120202	0.124559	0.123687	0.111846
a87	0.125389	0.0710938	0.0507417	0.0749738	0.113477	0.142653	0.203273	0.218398
a10	0.0850214	0.0501469	0.0373479	0.057713	0.0963814	0.13233	0.256261	0.284798
a38	0.0275684	0.0175208	0.0161638	0.0290759	0.0506267	0.0810923	0.26038	0.517572
a37	0.0219439	0.0210947	0.0213681	0.027711	0.0401206	0.0588235	0.229665	0.579273
</S>	0.0326949	0.0247748	0.0204249	0.0261088	0.0406703	0.0608888	0.24351	0.550927
