 	c'	est	son	arrière	grand-père	maternel	</S>
a23	0.53794	0.322907	0.0529695	0.0247907	0.0289708	0.0214421	0.0109804
a79	0.390842	0.292148	0.169234	0.0576097	0.0365112	0.0340959	0.0195588
a41	0.349761	0.223575	0.095899	0.0788232	0.0920255	0.0834462	0.07647
a18	0.348412	0.351906	0.15395	0.0600274	0.0418172	0.0292468	0.0146407
a24	0.378866	0.381255	0.135079	0.0461667	0.0256826	0.0209763	0.0119746
a32	0.226805	0.290297	0.186724	0.099621	0.0761663	0.0673966	0.0529903
a25	0.280527	0.266645	0.182599	0.0679536	0.0633537	0.0629851	0.0759366
a38	0.137379	0.13009	0.185947	0.119886	0.136036	0.125802	0.16486
a73	0.0722468	0.0670974	0.0986573	0.0985833	0.148857	0.17222	0.342338
a30	0.0364253	0.0268751	0.0440666	0.0936855	0.170768	0.231986	0.396194
a41	0.0198882	0.0148937	0.0299386	0.0788387	0.174459	0.272436	0.409545
a94	0.0111414	0.00610988	0.0147706	0.0514478	0.139495	0.261098	0.515937
a20	0.0081748	0.00492836	0.0124874	0.0469895	0.127957	0.277505	0.521957
a84	0.0153033	0.00751533	0.0179913	0.0688701	0.149928	0.310787	0.429604
a87	0.010188	0.00869441	0.0232973	0.0609022	0.127019	0.343675	0.426224
a23	0.0341944	0.038047	0.0807468	0.100392	0.173702	0.268132	0.304786
a87	0.0499288	0.052991	0.075012	0.0791406	0.110577	0.210117	0.422234
</S>	0.00521631	0.00742672	0.0370619	0.0876273	0.184412	0.326193	0.352062
