 	l'	habit	est	devenu	très	sale	</S>
a10	0.300621	0.194494	0.186177	0.125181	0.0840821	0.0615813	0.0478638
a87	0.333569	0.133508	0.139874	0.124823	0.0973061	0.0908387	0.0800802
a10	0.324284	0.157575	0.0824954	0.066505	0.0753248	0.126013	0.167803
a79	0.335773	0.170491	0.115239	0.0868297	0.0773957	0.102065	0.112207
a69	0.411981	0.130985	0.0827056	0.0620322	0.0642074	0.110593	0.137496
a58	0.507218	0.158429	0.083818	0.0545093	0.0460881	0.06366	0.0862773
a40	0.387573	0.186378	0.0858985	0.0527038	0.0499911	0.0884103	0.149046
a47	0.235357	0.176821	0.110639	0.0726768	0.0809648	0.124408	0.199133
a37	0.284339	0.225019	0.124415	0.0718682	0.0686695	0.0908109	0.134879
a75	0.26572	0.229723	0.134987	0.0750775	0.0714793	0.0903381	0.132676
a92	0.165581	0.170001	0.13093	0.106407	0.118297	0.126841	0.181943
a34	0.11727	0.147934	0.124217	0.114228	0.140101	0.149433	0.206817
a0	0.119483	0.170805	0.150892	0.129137	0.129464	0.128185	0.172034
a75	0.0793413	0.120976	0.115971	0.114666	0.13525	0.167811	0.265985
a98	0.0744552	0.0862786	0.0723976	0.0849811	0.144306	0.211254	0.326328
a73	0.0695913	0.0782469	0.0735132	0.0910891	0.145467	0.222223	0.319869
a44	0.0634646	0.0781656	0.0685623	0.0951096	0.163798	0.210094	0.320806
a90	0.0457911	0.0549942	0.0524601	0.0801324	0.155349	0.228107	0.383166
a25	0.035649	0.047493	0.0436751	0.0665038	0.136055	0.234897	0.435727
a56	0.0174972	0.0228306	0.0240794	0.0463952	0.117502	0.268043	0.503652
a54	0.0101864	0.0141797	0.0162242	0.0329591	0.0904121	0.262237	0.573802
a98	0.00477812	0.00686384	0.00888554	0.0211646	0.0691059	0.26211	0.627092
a85	0.00735855	0.00973021	0.0127163	0.0273736	0.0807716	0.262665	0.599385
a37	0.0133056	0.0148521	0.0181791	0.0368262	0.0930357	0.264456	0.559345
a66	0.0048575	0.00745916	0.012037	0.0328644	0.0973836	0.268474	0.576924
a24	0.00183424	0.00257488	0.00526994	0.0211347	0.0835485	0.26149	0.624148
a83	0.0044524	0.00511537	0.00973405	0.0344619	0.112988	0.271401	0.561847
a9	0.0057175	0.00571756	0.00907683	0.028784	0.0942763	0.253218	0.60321
a87	0.0527412	0.0474977	0.0641109	0.110507	0.165792	0.228672	0.330679
a10	0.159497	0.112755	0.0999325	0.112873	0.131811	0.171776	0.211355
a87	0.0670201	0.0526072	0.0484756	0.0696201	0.122849	0.248883	0.390545
</S>	0.029986	0.0295864	0.0341564	0.0645708	0.128176	0.293561	0.419963
