 	à	la	tombée	de	la	nuit	tout	le	village	est	dans	l'	obscurité	</S>
a66	0.117843	0.0910638	0.0773513	0.0836754	0.0930079	0.0984866	0.0981743	0.104093	0.0643651	0.0600995	0.0331548	0.0310307	0.0303689	0.0172855
a87	0.0971475	0.0752118	0.0622982	0.0643864	0.0548616	0.0540188	0.0622807	0.0644777	0.0684692	0.0702377	0.0701304	0.077806	0.106023	0.0726506
a99	0.161675	0.108248	0.0648885	0.0514028	0.0396351	0.0357222	0.0354632	0.0430583	0.0493126	0.0746769	0.0841062	0.110967	0.113781	0.0270629
a11	0.129179	0.10678	0.0791818	0.0622689	0.0489965	0.0500653	0.0414113	0.0492291	0.0573215	0.0876225	0.0928439	0.0954753	0.0805816	0.0190439
a43	0.170797	0.140779	0.113282	0.0765152	0.0481953	0.0372423	0.0302355	0.0331478	0.0498924	0.0727997	0.0867692	0.0747598	0.0506984	0.0148863
a75	0.149597	0.158871	0.159804	0.111825	0.0760863	0.0584769	0.0445917	0.0409001	0.0425999	0.0463965	0.0499446	0.0342954	0.0202023	0.00640857
a92	0.116211	0.141635	0.154511	0.11687	0.0921129	0.0703788	0.0481987	0.0397387	0.0369011	0.0357888	0.0424566	0.0450018	0.0396759	0.0205206
a90	0.10335	0.140902	0.158871	0.122644	0.0951863	0.0797806	0.052758	0.0422109	0.0319767	0.0297269	0.0331274	0.0383159	0.0433413	0.0278075
a44	0.0716846	0.107397	0.145816	0.139657	0.132847	0.116553	0.0721657	0.0534194	0.03215	0.0263819	0.0228932	0.0261206	0.0293984	0.0235179
a94	0.0553017	0.0805427	0.131782	0.148483	0.153677	0.143893	0.0838564	0.0557459	0.0296633	0.0235193	0.0192946	0.0220966	0.0290124	0.0231317
a61	0.0612188	0.0782652	0.121645	0.147266	0.161524	0.153791	0.0882599	0.0569491	0.0260218	0.0198973	0.0159542	0.0183789	0.0269765	0.0238528
a47	0.0672769	0.0691445	0.0966226	0.122314	0.144834	0.157423	0.102613	0.0701885	0.0316695	0.0254988	0.0207933	0.0219872	0.0328709	0.0367641
a96	0.0614189	0.053759	0.0705267	0.0965578	0.125764	0.152206	0.131249	0.105557	0.0529256	0.0404592	0.0260388	0.0239199	0.0271156	0.0325022
a66	0.0405823	0.0332351	0.0449603	0.0680542	0.10579	0.146611	0.139666	0.115684	0.0674166	0.0546827	0.0383841	0.0371512	0.0489889	0.0587943
a24	0.0336157	0.029728	0.0386049	0.0592561	0.0982712	0.140058	0.135528	0.111288	0.0737583	0.0551542	0.0421596	0.0445843	0.0675103	0.0704833
a31	0.0190492	0.0195716	0.0263752	0.0449468	0.0803796	0.119196	0.134941	0.120701	0.0991334	0.0725708	0.0541079	0.0606468	0.0730428	0.0753383
a88	0.0212788	0.0160779	0.0190732	0.026241	0.0442278	0.0717394	0.0930024	0.0936953	0.0868313	0.0858276	0.0765023	0.0825695	0.129006	0.153927
a71	0.00910554	0.00740413	0.00940105	0.0129487	0.022341	0.0414606	0.0649404	0.069313	0.0816552	0.0809112	0.0937271	0.113684	0.189728	0.20338
a9	0.0107792	0.0106949	0.012801	0.0169824	0.0255049	0.0395571	0.0566525	0.0597214	0.0737358	0.0667051	0.0890912	0.131836	0.192525	0.213414
a99	0.0137752	0.0133432	0.015009	0.0196095	0.0266913	0.0379782	0.049176	0.051204	0.0579187	0.0610659	0.0906782	0.137228	0.208788	0.217535
a30	0.0138481	0.0107893	0.00987299	0.0127369	0.0172488	0.0250077	0.0386749	0.0448267	0.0646119	0.0797868	0.114822	0.153398	0.228668	0.185708
a93	0.0106281	0.00741391	0.00629509	0.00818795	0.0113336	0.0168	0.0273643	0.0319519	0.0541149	0.0704992	0.111289	0.160516	0.245851	0.237756
a75	0.00152317	0.00112437	0.00129236	0.00207048	0.00330075	0.00499329	0.00917747	0.0114656	0.0275201	0.0387362	0.107579	0.187143	0.282953	0.321121
a61	0.0010512	0.000926976	0.00135992	0.00255266	0.00463606	0.00823952	0.0158194	0.0180192	0.0374545	0.0510935	0.115468	0.168448	0.263022	0.311909
