 	combien	coûtent	ces	bananes	</S>
a66	0.629168	0.261324	0.0507805	0.0292185	0.0295087
a87	0.435154	0.406467	0.0795338	0.0353306	0.0435148
a23	0.60798	0.310795	0.03942	0.0207045	0.0211007
a87	0.653055	0.252751	0.0417009	0.0231875	0.0293056
a10	0.642631	0.278148	0.0394993	0.0194045	0.0203174
a87	0.592131	0.304336	0.0461095	0.0276884	0.0297345
a23	0.575209	0.321687	0.0536999	0.0261049	0.0232985
a40	0.510575	0.27581	0.089642	0.0619605	0.0620124
a36	0.567777	0.329769	0.0538061	0.0270582	0.0215902
a75	0.429439	0.419285	0.0816786	0.0385974	0.0310005
a56	0.317656	0.445617	0.130377	0.061081	0.0452699
a79	0.326215	0.397106	0.127755	0.0832773	0.0656461
a56	0.256136	0.384745	0.159969	0.106475	0.0926751
a75	0.217321	0.336796	0.171762	0.144136	0.129985
a85	0.126147	0.253259	0.217129	0.204765	0.1987
a6	0.0629982	0.18138	0.247982	0.236662	0.270978
a61	0.0562034	0.118881	0.260062	0.264826	0.300027
a37	0.0197127	0.0438989	0.167784	0.314993	0.453611
a38	0.00743641	0.0121708	0.0884104	0.330511	0.561471
a27	0.00245215	0.00335584	0.0307974	0.212043	0.751352
a75	0.00986704	0.0189906	0.0647816	0.227724	0.678637
a21	0.000873537	0.0022835	0.028113	0.193866	0.774864
a43	0.000510984	0.00160013	0.0206263	0.164748	0.812514
a27	0.000468021	0.00212641	0.0252577	0.167521	0.804627
a25	0.0109616	0.0245406	0.0991641	0.287731	0.577602
a10	0.12838	0.108769	0.129972	0.231986	0.400893
a87	0.26948	0.242697	0.155185	0.141335	0.191303
a23	0.263175	0.246137	0.140007	0.135866	0.214815
a87	0.0625585	0.0837621	0.113971	0.22329	0.516418
</S>	0.0103387	0.0271247	0.0627431	0.213413	0.68638
