 	le	juge	traditionnel	est	majestueusement	assis	</S>
a66	0.233178	0.191857	0.309389	0.182208	0.0687526	0.00972175	0.00489374
a87	0.409989	0.224482	0.18314	0.0682219	0.0697603	0.0274617	0.016945
a23	0.505283	0.197307	0.177983	0.0528037	0.033096	0.0156281	0.0178987
a40	0.407363	0.200104	0.193218	0.0783664	0.0385864	0.0310232	0.0513382
a36	0.272791	0.198312	0.209948	0.109501	0.125603	0.0488366	0.0350074
a37	0.124622	0.186607	0.380767	0.187108	0.0782319	0.024249	0.0184148
a96	0.139804	0.18126	0.302262	0.23127	0.108694	0.0209891	0.0157203
a66	0.123727	0.183683	0.322437	0.258788	0.0779468	0.0162551	0.0171626
a40	0.0818681	0.135058	0.230794	0.31259	0.144225	0.0476162	0.0478485
a6	0.0948597	0.167849	0.286417	0.29086	0.101451	0.0294064	0.0291569
a37	0.0804519	0.129528	0.25026	0.30827	0.131916	0.0493738	0.0501998
a61	0.0909262	0.123718	0.227654	0.295712	0.142102	0.0564923	0.0633955
a18	0.0727399	0.0892902	0.182277	0.298199	0.182105	0.0848165	0.0905725
a88	0.0220614	0.0238929	0.0479232	0.236564	0.250075	0.216401	0.203082
a75	0.020583	0.0204978	0.0353336	0.184844	0.223988	0.268989	0.245765
a85	0.0158973	0.020889	0.0413431	0.166481	0.230395	0.216632	0.308363
a47	0.0138211	0.0169838	0.0347685	0.155099	0.219587	0.22531	0.334431
a36	0.00104995	0.000953817	0.00171638	0.0155698	0.073408	0.303137	0.604165
a54	0.00199403	0.0016057	0.00161002	0.00897774	0.0459164	0.24755	0.692346
a47	0.00186328	0.00139287	0.0012543	0.004673	0.0301529	0.211057	0.749606
a85	0.00067506	0.000543381	0.000472094	0.00229878	0.0199443	0.196291	0.779776
a5	0.000271297	0.000247501	0.000256462	0.00266377	0.0243417	0.191529	0.78069
a36	0.00243429	0.0021354	0.00193953	0.00826686	0.0360377	0.190388	0.758798
a27	0.00353969	0.0030241	0.00163238	0.00663097	0.0558632	0.268033	0.661277
a98	0.00822292	0.00741475	0.00394677	0.0103088	0.0507695	0.239265	0.680073
a6	0.0056929	0.00632845	0.00375313	0.00951984	0.0455849	0.232046	0.697075
a36	0.00089147	0.00102153	0.000765405	0.00307886	0.0241543	0.165794	0.804294
a26	0.00678664	0.0070085	0.00392509	0.00905914	0.0412767	0.217477	0.714467
a57	0.0583073	0.0364348	0.0224844	0.038322	0.0874511	0.244991	0.512009
a87	0.278508	0.116506	0.064923	0.0455761	0.0662918	0.132287	0.295908
a23	0.342081	0.180931	0.113154	0.0902852	0.0924912	0.0810613	0.0999961
a87	0.264968	0.133307	0.0503119	0.0303994	0.0489467	0.128564	0.343502
a99	0.0475857	0.0266562	0.0158273	0.0216586	0.0519357	0.184892	0.651444
</S>	0.067928	0.0349192	0.016585	0.0264981	0.063802	0.193718	0.59655
