 	j'	ai	attrapé	un	grillon	mâle	hier	dans	la	nuit	</S>
a66	0.521461	0.249418	0.0615696	0.0182616	0.0212164	0.0259449	0.016184	0.0142929	0.0174073	0.0226314	0.0316129
a87	0.496783	0.221237	0.0337086	0.0161957	0.021986	0.0213611	0.0194489	0.0185896	0.0261189	0.0456031	0.0789679
a23	0.387822	0.202407	0.0666911	0.039627	0.036948	0.030535	0.0299133	0.0329075	0.0421605	0.0523536	0.0786349
a13	0.275054	0.171056	0.0715274	0.0685412	0.0592641	0.0324605	0.0333676	0.0401322	0.0581678	0.0783555	0.112073
a54	0.204351	0.184224	0.119801	0.104152	0.0688122	0.0384122	0.0267795	0.0350333	0.0521509	0.0736099	0.0926738
a47	0.165989	0.184744	0.19207	0.201575	0.0914566	0.0393218	0.021707	0.0221032	0.0253559	0.0277782	0.0278994
a36	0.125939	0.158918	0.195909	0.228953	0.119891	0.0410647	0.0203826	0.0225367	0.0263513	0.0292053	0.0308497
a61	0.0628648	0.11721	0.247625	0.296041	0.136623	0.0379326	0.019	0.0200727	0.0200889	0.0205402	0.0220015
a18	0.0393488	0.0701263	0.180114	0.312673	0.231147	0.0711824	0.0290489	0.0194785	0.0169173	0.0147576	0.0152064
a38	0.0204902	0.0363997	0.104366	0.290063	0.291769	0.10648	0.0478381	0.0308645	0.0267549	0.0222649	0.0227098
a24	0.01791	0.0285843	0.0742217	0.239421	0.314591	0.132473	0.0635644	0.0378188	0.032758	0.0284701	0.0301877
a62	0.0102279	0.0162207	0.0412815	0.169123	0.320627	0.209571	0.0890639	0.0430051	0.0351045	0.0318092	0.0339661
a88	0.0127771	0.0187702	0.0444516	0.147544	0.317255	0.219195	0.0974235	0.0447207	0.0353498	0.0307946	0.0317182
a71	0.0109979	0.0132043	0.0234365	0.0846184	0.283981	0.274254	0.130656	0.0520868	0.0413918	0.0395438	0.0458298
a53	0.0160374	0.0208141	0.0276493	0.0932097	0.264882	0.247373	0.130992	0.0561347	0.0432967	0.0446226	0.0549893
a93	0.0137327	0.0185224	0.032372	0.0876343	0.196405	0.212032	0.137217	0.082807	0.0710557	0.0700078	0.0782147
a96	0.017023	0.021443	0.0332695	0.0539376	0.112604	0.188335	0.177927	0.118191	0.102504	0.0875584	0.0872074
a31	0.0139841	0.0134253	0.0184605	0.0310673	0.0880236	0.194531	0.195143	0.128926	0.116374	0.100144	0.0999214
a21	0.00960572	0.00942583	0.0140739	0.0321643	0.105613	0.208198	0.214547	0.130905	0.103806	0.0848801	0.0867819
a12	0.0064607	0.00575692	0.0086711	0.0221428	0.0733768	0.155601	0.217986	0.152778	0.130153	0.11031	0.116765
a31	0.00752848	0.00594931	0.00840299	0.0185395	0.0606592	0.128865	0.210247	0.157864	0.145041	0.126296	0.130607
a88	0.005923	0.00517886	0.00840149	0.0197289	0.0622638	0.123312	0.219523	0.177823	0.146729	0.113559	0.117558
a9	0.00416031	0.0034605	0.00495212	0.0156251	0.0519404	0.0932285	0.181408	0.182985	0.17046	0.142471	0.149309
a50	0.00711762	0.00640812	0.00739775	0.0131678	0.0291924	0.0497194	0.120008	0.157268	0.190473	0.18319	0.236058
a75	0.00524092	0.00428066	0.00539379	0.012073	0.0287001	0.0455688	0.110306	0.145503	0.184408	0.192462	0.266064
a47	0.000797488	0.000559442	0.000771146	0.00237	0.00928025	0.0310017	0.114154	0.155809	0.198645	0.224351	0.262261
a36	0.000334765	0.000246483	0.000397171	0.00143783	0.00606134	0.0243098	0.129378	0.183064	0.221671	0.211752	0.221348
a2	0.00138357	0.00105744	0.00104764	0.0022343	0.00637478	0.0127249	0.0597294	0.114054	0.186725	0.24601	0.368659
a53	0.00519185	0.00431585	0.00408723	0.00406768	0.00625602	0.00868796	0.0326084	0.0684597	0.164414	0.274205	0.427706
a15	0.00180741	0.00116503	0.00111713	0.00153608	0.00323733	0.00639777	0.0317176	0.077108	0.189739	0.299904	0.386271
a98	0.000179347	0.000141973	0.000114624	0.000234516	0.00075873	0.00161824	0.0141314	0.046799	0.132269	0.306149	0.497604
a79	7.0986e-05	7.00051e-05	9.10503e-05	0.000281429	0.00104377	0.00288578	0.0254707	0.069861	0.154308	0.298271	0.447647
a47	5.63112e-05	4.8873e-05	6.22113e-05	0.000196269	0.000857436	0.0025523	0.0241983	0.0644841	0.143075	0.292428	0.472041
a7	0.000105	9.03941e-05	0.000111174	0.000286146	0.00104336	0.00208769	0.0191049	0.0551911	0.133758	0.291561	0.496661
a4	0.000181827	0.000174142	0.000168539	0.000320642	0.000777056	0.0015911	0.0136409	0.0422435	0.121117	0.291748	0.528037
a13	0.000516547	0.000511317	0.000507408	0.000859645	0.00173269	0.00282333	0.0150931	0.0441492	0.125903	0.301677	0.506226
a71	0.000346333	0.000389134	0.000524925	0.00104177	0.00209016	0.00334012	0.0196481	0.0566167	0.146129	0.301836	0.468038
a9	0.000593144	0.00066551	0.000907473	0.00170141	0.00292391	0.00444392	0.0245143	0.0623034	0.1453	0.292868	0.46378
a87	0.0222882	0.0149237	0.0158022	0.0160131	0.0194041	0.0230333	0.0776805	0.110811	0.167659	0.235885	0.2965
</S>	0.167711	0.0673558	0.0443486	0.0286659	0.0334193	0.0345405	0.0728514	0.0945259	0.114887	0.155359	0.186336
