 	ce	palmier	dattier	a	de	gros	bambous	</S>
a15	0.497933	0.223167	0.150412	0.0558523	0.0329569	0.0184988	0.0112955	0.00988413
a66	0.430275	0.226839	0.135339	0.0556203	0.036176	0.0457296	0.0414346	0.0285868
a87	0.335806	0.241183	0.171344	0.0826289	0.0493293	0.0526906	0.0381754	0.0288429
a23	0.327784	0.303915	0.209869	0.0996425	0.0304875	0.0134615	0.00827924	0.0065616
a83	0.325575	0.30545	0.176268	0.0941074	0.034156	0.024841	0.0182755	0.0213261
a71	0.216966	0.20963	0.203945	0.133267	0.080326	0.062094	0.046736	0.0470359
a11	0.207607	0.187977	0.205982	0.171188	0.10372	0.0540221	0.0373277	0.0321768
a94	0.137851	0.17553	0.196368	0.208951	0.148892	0.0659117	0.0396873	0.0268084
a93	0.100241	0.147557	0.155444	0.231245	0.205766	0.0866988	0.0438018	0.0292453
a94	0.0683668	0.107871	0.125423	0.234143	0.239957	0.114223	0.0640912	0.0459243
a24	0.0799297	0.103362	0.137148	0.185256	0.171365	0.124142	0.0998281	0.0989689
a62	0.0457821	0.0511075	0.0885691	0.124363	0.126907	0.123805	0.195012	0.244453
a98	0.031032	0.0300772	0.0445755	0.0577955	0.0814086	0.15467	0.248557	0.351884
a62	0.0186024	0.0188944	0.0268808	0.0401517	0.0678002	0.166033	0.318535	0.343102
a96	0.0258828	0.0219663	0.026298	0.0305772	0.0451458	0.0890084	0.268425	0.492696
a98	0.0137967	0.0107236	0.0121885	0.0163628	0.0279518	0.069422	0.274102	0.575453
a85	0.00393179	0.00411446	0.00540127	0.00814048	0.0138596	0.0466035	0.301311	0.616638
a92	0.0061353	0.00486651	0.00764887	0.010265	0.0195277	0.0576554	0.259681	0.634221
a21	0.00575005	0.0053907	0.00862581	0.0110154	0.0216144	0.0609967	0.311986	0.574621
a5	0.00267625	0.0026662	0.003259	0.00398611	0.00694709	0.0302099	0.264928	0.685327
a12	0.00279832	0.00258219	0.00280428	0.00336151	0.00673458	0.0356109	0.261688	0.68442
a18	0.0016603	0.00124743	0.00142499	0.00206131	0.00546747	0.0415241	0.257565	0.68905
a25	0.0194354	0.0117376	0.0125167	0.0169041	0.0591347	0.147856	0.229874	0.502542
a87	0.193709	0.130435	0.115547	0.0943268	0.100442	0.0945752	0.109425	0.16154
a23	0.347319	0.237026	0.167806	0.0930608	0.0556287	0.034806	0.0308424	0.0335109
a99	0.246165	0.216815	0.152836	0.0869246	0.046501	0.0330516	0.0730417	0.144665
a97	0.0953799	0.0775421	0.0621372	0.0506142	0.0410065	0.0493067	0.197163	0.42685
</S>	0.0415688	0.037451	0.0333425	0.032794	0.0284067	0.0390528	0.270814	0.51657
