 	il	est	allé	en	brousse	</S>
a87	0.274772	0.1869	0.118311	0.113004	0.134707	0.172306
a23	0.232259	0.169746	0.157963	0.120782	0.141769	0.177481
a53	0.225768	0.157609	0.124412	0.109625	0.155183	0.227403
a20	0.351622	0.236819	0.18894	0.0908712	0.0692361	0.062512
a30	0.486202	0.230728	0.157652	0.0661776	0.0363481	0.0228917
a57	0.483472	0.284888	0.15923	0.0396281	0.0194218	0.0133594
a40	0.448181	0.272445	0.153107	0.0515004	0.0381258	0.0366403
a30	0.473485	0.291215	0.144569	0.0426194	0.0276074	0.0205044
a35	0.429023	0.309788	0.15403	0.0468598	0.0324972	0.0278027
a98	0.366211	0.291288	0.187649	0.067462	0.046666	0.0407231
a9	0.313871	0.270936	0.193355	0.0868508	0.0701116	0.0648762
a38	0.202334	0.216433	0.220965	0.148976	0.108851	0.102441
a90	0.194352	0.205591	0.217372	0.162862	0.119293	0.10053
a76	0.167509	0.173071	0.18461	0.178288	0.156405	0.140117
a73	0.0659929	0.0794539	0.109747	0.185179	0.27109	0.288537
a44	0.0545925	0.062355	0.0877506	0.143696	0.255046	0.39656
a57	0.0528682	0.0566336	0.0789985	0.12687	0.247601	0.437029
a53	0.00788746	0.0103654	0.0240269	0.0940498	0.274092	0.589579
a90	0.011189	0.0126532	0.0230773	0.0806946	0.265252	0.607134
a76	0.0109882	0.0115352	0.0211493	0.0860644	0.26651	0.603754
a69	0.0127573	0.0135738	0.0291949	0.130131	0.296413	0.51793
a84	0.0139974	0.0142807	0.026759	0.121272	0.292315	0.531376
a87	0.0125174	0.0126814	0.0261706	0.105681	0.271202	0.571748
</S>	0.0453936	0.0429262	0.0584082	0.131928	0.258751	0.462593
