 	sa	compréhension	des	choses	est	toujours	mauvaise	</S>
a66	0.389562	0.161059	0.1115	0.10001	0.0849462	0.0667189	0.0554724	0.0307316
a10	0.169759	0.121687	0.128974	0.146117	0.136555	0.119913	0.111749	0.065245
a87	0.380849	0.326976	0.134204	0.0520126	0.0318666	0.0252942	0.0303247	0.0184735
a62	0.327539	0.293431	0.159009	0.0648781	0.0426028	0.0350305	0.0489531	0.0285563
a83	0.479675	0.319695	0.0788773	0.0298621	0.0188283	0.0198264	0.0317652	0.0214713
a93	0.448834	0.252612	0.0802425	0.044458	0.0362788	0.0393681	0.0551488	0.0430579
a56	0.368728	0.258422	0.120292	0.068683	0.0496957	0.044122	0.0509335	0.039124
a61	0.287972	0.249549	0.146853	0.0971615	0.0699575	0.0539161	0.0552812	0.0393097
a21	0.219588	0.211246	0.150487	0.1162	0.092431	0.0755652	0.0771261	0.0573572
a85	0.19225	0.18189	0.142442	0.116225	0.101614	0.0865045	0.0964968	0.0825785
a15	0.130562	0.139673	0.144255	0.149447	0.136902	0.116146	0.0990014	0.0840127
a69	0.11057	0.0982195	0.111556	0.159774	0.155659	0.151668	0.107373	0.105182
a58	0.0810224	0.0979606	0.104934	0.136242	0.132915	0.146071	0.136203	0.164652
a53	0.0460634	0.0689413	0.0791759	0.111469	0.122839	0.149177	0.175911	0.246423
a56	0.0447618	0.0547518	0.0801031	0.14226	0.167207	0.167764	0.161541	0.181612
a75	0.0227696	0.033899	0.0572038	0.108079	0.144239	0.174857	0.207338	0.251615
a66	0.00840142	0.0103833	0.0179288	0.0493986	0.0875406	0.165806	0.245681	0.41486
a61	0.00559919	0.00577757	0.00726986	0.0183327	0.0422357	0.105972	0.201902	0.612911
a83	0.00253719	0.00277449	0.00416086	0.0111235	0.029527	0.0804101	0.206466	0.663001
a18	0.00169738	0.00221617	0.00403617	0.0109393	0.0331482	0.0935378	0.19553	0.658895
a61	0.0153898	0.0155617	0.0234428	0.0403368	0.0760071	0.140901	0.177133	0.511228
a24	0.00129344	0.00187416	0.00341779	0.00878349	0.0252604	0.0682402	0.168404	0.722727
a9	0.00259193	0.00370557	0.00656539	0.0140695	0.0327866	0.0823558	0.164993	0.692932
a99	0.0359951	0.0341031	0.045036	0.0659119	0.0952624	0.140763	0.193331	0.389598
a87	0.0422312	0.0462439	0.0504496	0.0610819	0.0763848	0.107326	0.177724	0.438558
a23	0.0751512	0.0773703	0.0682142	0.0680073	0.0819262	0.101077	0.174523	0.353731
a87	0.0326648	0.0489802	0.0536947	0.0630533	0.0753892	0.109054	0.18203	0.435134
a23	0.0165638	0.0287929	0.0382	0.0556276	0.0733269	0.113385	0.179877	0.494227
</S>	0.0273035	0.0429932	0.046591	0.0611529	0.075362	0.11536	0.185865	0.445372
