 	il	a	avantage	à	se	taire	</S>
a10	0.0744613	0.0822684	0.0884324	0.156234	0.161832	0.244975	0.191796
a87	0.0906032	0.0809415	0.0918272	0.155651	0.147562	0.212582	0.220833
a23	0.137365	0.116014	0.142255	0.176076	0.143492	0.153538	0.13126
a30	0.17522	0.183352	0.141637	0.166349	0.128772	0.124858	0.079812
a53	0.381814	0.249593	0.151107	0.0724432	0.0562351	0.0388658	0.0499424
a20	0.566325	0.27533	0.105579	0.0275604	0.0120895	0.00680864	0.00630776
a73	0.450127	0.285414	0.157776	0.0579137	0.0257838	0.0144852	0.00850002
a35	0.363458	0.298443	0.18552	0.0789919	0.0377059	0.022362	0.0135197
a14	0.358124	0.311386	0.186861	0.0762208	0.0352877	0.020371	0.0117496
a41	0.25565	0.283854	0.232461	0.110206	0.0591685	0.0375292	0.0211313
a26	0.229483	0.293602	0.240711	0.11204	0.0583889	0.0410085	0.0247665
a84	0.13568	0.195823	0.266146	0.152912	0.09871	0.0861495	0.0645795
a75	0.076056	0.134063	0.21741	0.198666	0.150889	0.136767	0.0861486
a76	0.0939188	0.145856	0.220311	0.177735	0.143964	0.131223	0.0869924
a90	0.104206	0.136333	0.18278	0.161422	0.14852	0.144753	0.121987
a38	0.0819208	0.103426	0.152882	0.180557	0.159761	0.179493	0.14196
a75	0.0543086	0.0664353	0.120407	0.170556	0.187253	0.221627	0.179414
a41	0.0414461	0.0516334	0.0873204	0.1249	0.184268	0.251554	0.258877
a76	0.0206611	0.0260662	0.0511667	0.0936114	0.192533	0.298931	0.31703
a41	0.0432936	0.0500328	0.0696118	0.0768831	0.146821	0.28381	0.329547
a26	0.0277554	0.0318932	0.0526829	0.0748067	0.156667	0.309993	0.346202
a62	0.0237733	0.0250838	0.0407176	0.0565575	0.125622	0.298308	0.429938
a98	0.0242977	0.0234466	0.0267603	0.037275	0.0972074	0.271107	0.519906
a9	0.0193399	0.0218574	0.026324	0.0378085	0.0974377	0.270152	0.527081
a87	0.0124473	0.0122194	0.0230097	0.0379497	0.110273	0.290368	0.513733
a79	0.00517198	0.00449823	0.00645913	0.0139106	0.0735603	0.263697	0.632703
a24	0.025093	0.020588	0.0197116	0.0370858	0.103729	0.281741	0.512052
a9	0.00641607	0.00597464	0.0143003	0.0453685	0.144379	0.277777	0.505784
a87	0.00354169	0.00386892	0.00897125	0.027056	0.127337	0.287249	0.541976
</S>	0.00198855	0.00249498	0.00588769	0.0167343	0.0898904	0.241041	0.641963
