 	pendant	la	période	de	pluies	les	gens	attrapent	des	poissons	dans	les	barrages	à	nasses	</S>
a87	0.0430833	0.0340938	0.083247	0.0822905	0.0787058	0.118647	0.13928	0.140906	0.117876	0.0644214	0.0318255	0.0204762	0.0141463	0.0102449	0.010564	0.0101911
a23	0.145457	0.106392	0.155084	0.0907752	0.0627339	0.0409515	0.0375633	0.0259321	0.0318416	0.0374844	0.0342698	0.0442833	0.041276	0.0357042	0.0466492	0.0636031
a35	0.239863	0.200703	0.158823	0.0871078	0.046631	0.0298135	0.0220364	0.0137895	0.0157442	0.0154281	0.0143192	0.0188423	0.0214879	0.0243175	0.0356146	0.0554797
a56	0.338594	0.148197	0.0605881	0.049865	0.0361937	0.0414513	0.0372099	0.0278277	0.023895	0.0238205	0.0225175	0.0280914	0.0308873	0.037172	0.0461653	0.047524
a96	0.460311	0.238617	0.0782733	0.0444444	0.0216475	0.0173181	0.0131486	0.00996207	0.00997232	0.00977313	0.00874157	0.00940607	0.0112674	0.0160387	0.0230975	0.0279812
a83	0.391292	0.240276	0.110459	0.0537002	0.02843	0.0231262	0.0189415	0.0155989	0.0158466	0.0152807	0.0127191	0.0122721	0.0127887	0.0133664	0.0166831	0.01922
a62	0.19227	0.198387	0.161512	0.0887908	0.0518485	0.0384478	0.0320284	0.027454	0.0274953	0.0263325	0.0219737	0.0211993	0.0233389	0.024263	0.0302746	0.0343842
a47	0.160071	0.199928	0.204323	0.112493	0.0619753	0.0444593	0.0353315	0.0298331	0.0278114	0.0225405	0.0159128	0.0143697	0.0147577	0.0151221	0.018845	0.0222265
a70	0.113205	0.151824	0.185775	0.109477	0.0706706	0.0506805	0.0413936	0.0360656	0.0346922	0.0332674	0.0273575	0.0282866	0.0320734	0.0288767	0.0284267	0.0279285
a34	0.092501	0.150855	0.209336	0.127787	0.0835861	0.061751	0.0507428	0.0436207	0.0403285	0.0317263	0.0198597	0.0171622	0.0177405	0.0164366	0.0174817	0.0190851
a98	0.0745204	0.12835	0.210088	0.140256	0.0996974	0.0703292	0.0551454	0.0438241	0.0393647	0.0304628	0.0193476	0.0173468	0.0181986	0.0167535	0.017369	0.0189467
a85	0.0477063	0.0845326	0.214984	0.15577	0.126904	0.095127	0.0712717	0.0497599	0.0389214	0.0237476	0.0146746	0.012437	0.0142542	0.0147243	0.0160446	0.0191401
