 	elle	a	mis	des	poissons	sur	les	braises	</S>
a84	0.224111	0.22324	0.17214	0.15091	0.112393	0.0544099	0.0319859	0.0173156	0.0134951
a87	0.370518	0.209153	0.104214	0.0489036	0.0409082	0.037973	0.0490467	0.0646293	0.0746539
a23	0.379827	0.186603	0.106603	0.0574307	0.0442197	0.0404604	0.0459721	0.0581725	0.0807114
a53	0.276683	0.20829	0.160495	0.10599	0.0639544	0.0399775	0.0339132	0.0360462	0.0746512
a15	0.211442	0.17378	0.131578	0.090191	0.087405	0.0770698	0.0780725	0.084636	0.0658258
a20	0.171532	0.158676	0.138255	0.122711	0.120607	0.102478	0.081597	0.0661459	0.0379989
a98	0.0623942	0.0636744	0.0748686	0.0991254	0.14736	0.170639	0.158309	0.138484	0.0851452
a85	0.0949368	0.0921887	0.101008	0.117932	0.154185	0.163418	0.122891	0.0923322	0.0611088
a6	0.102479	0.100674	0.114139	0.136434	0.14553	0.123743	0.0842083	0.0934408	0.0993519
a0	0.0805813	0.0807068	0.0956786	0.130858	0.171037	0.14813	0.105954	0.0941658	0.092889
a21	0.101989	0.104096	0.130321	0.153088	0.148954	0.105335	0.0688902	0.0848553	0.102472
a5	0.0865848	0.0871417	0.114379	0.146768	0.169401	0.133628	0.100647	0.0780877	0.0833632
a43	0.0703726	0.0665911	0.0888229	0.127616	0.173306	0.147085	0.108929	0.0903675	0.12691
a75	0.0519876	0.0444423	0.0562103	0.0809864	0.139521	0.163592	0.147104	0.132649	0.183508
a85	0.025859	0.0216409	0.0244786	0.0280781	0.0447044	0.0838362	0.126905	0.244305	0.400193
a92	0.023103	0.0204172	0.0241302	0.0291039	0.0524277	0.101542	0.141649	0.232045	0.375582
a21	0.00813129	0.0065374	0.00783279	0.0101091	0.0237917	0.0593713	0.121312	0.280439	0.482476
a12	0.00419982	0.0030072	0.00327611	0.00403885	0.0108263	0.0382015	0.112817	0.335509	0.488124
a43	0.00365653	0.00259527	0.00246866	0.00248602	0.00579275	0.0194947	0.0659368	0.280165	0.617404
a0	0.000872014	0.000554336	0.000523009	0.000605832	0.00189758	0.00714287	0.0289918	0.190901	0.768511
a61	0.00214999	0.0017083	0.00180048	0.00293848	0.00827729	0.0216602	0.0655084	0.214314	0.681643
a96	0.00100222	0.000767499	0.000840407	0.00128825	0.00420751	0.0127714	0.0499607	0.248475	0.680687
a88	0.000844005	0.00067661	0.00077486	0.0012401	0.0043071	0.0131149	0.0511135	0.245808	0.682121
a71	0.00211249	0.00164653	0.00166691	0.00268355	0.00890073	0.0281373	0.0967483	0.264442	0.593662
a9	0.030574	0.0209927	0.0215558	0.0308279	0.0585762	0.0942299	0.132925	0.185685	0.424634
a99	0.182516	0.106902	0.0884595	0.0823374	0.0790009	0.0785	0.0931248	0.110352	0.178808
a10	0.210188	0.135576	0.0953823	0.0681853	0.0531781	0.0551324	0.0842519	0.124204	0.173902
a87	0.252267	0.15716	0.101405	0.0656661	0.0481859	0.0416174	0.062775	0.110341	0.160583
a23	0.169998	0.112894	0.079601	0.0631227	0.0575187	0.0560919	0.0892426	0.164438	0.207094
a87	0.0468357	0.0216977	0.0123756	0.00642379	0.00654362	0.0138281	0.0427567	0.244896	0.604643
</S>	0.0137863	0.00656727	0.00398284	0.0032207	0.00556913	0.0128156	0.0335319	0.226407	0.694119
