 	je	suis	encore	célibataire	</S>
a66	0.530345	0.219066	0.12668	0.0730514	0.0508587
a87	0.295386	0.229095	0.15661	0.154036	0.164872
a23	0.506214	0.309028	0.101331	0.0496386	0.0337886
a99	0.679429	0.218866	0.0549817	0.0269453	0.0197774
a83	0.610625	0.263873	0.0727787	0.0294145	0.0233085
a88	0.44735	0.315157	0.136172	0.0648858	0.0364347
a0	0.271505	0.329499	0.242056	0.111253	0.0456874
a75	0.186127	0.238146	0.294617	0.18466	0.0964502
a6	0.211911	0.214723	0.270817	0.187375	0.115173
a36	0.162625	0.188142	0.248943	0.205524	0.194766
a0	0.0881001	0.11654	0.249843	0.255409	0.290108
a61	0.0336153	0.0468333	0.208989	0.320976	0.389587
a47	0.0355899	0.046943	0.195213	0.336377	0.385877
a62	0.0216675	0.0281304	0.149006	0.325798	0.475398
a88	0.00856957	0.0124351	0.0926317	0.319953	0.566411
a71	0.00541228	0.0083909	0.0524038	0.240462	0.693331
a25	0.00488495	0.0066605	0.0356894	0.136767	0.815998
a87	0.00187551	0.00407251	0.0190172	0.0936852	0.88135
a23	0.15328	0.0925395	0.0960805	0.15522	0.50288
a9	0.0875919	0.0557357	0.0785898	0.161373	0.61671
a87	0.0215043	0.0199827	0.0754263	0.213571	0.669515
</S>	0.0632493	0.0665681	0.153795	0.237327	0.47906
