 	le	véhicule	qu'	il	vient	d'	acheter	est	encore	tout	neuf	</S>
a66	0.267389	0.141912	0.135507	0.10868	0.0843802	0.0765871	0.0713547	0.0437049	0.025261	0.0182821	0.0141219	0.0128208
a87	0.322688	0.16896	0.120014	0.0587404	0.0373401	0.0352001	0.0408586	0.0423017	0.0370553	0.039078	0.046843	0.0509198
a97	0.259112	0.136827	0.11337	0.0698159	0.0520094	0.048107	0.0557207	0.0494124	0.034997	0.0422524	0.0604469	0.0779295
a79	0.256696	0.138693	0.123593	0.0633254	0.0530688	0.0516574	0.0533257	0.0468784	0.0355136	0.0419864	0.0555412	0.0797218
a69	0.361748	0.15404	0.095235	0.0414891	0.0314125	0.0273719	0.0281816	0.023388	0.0203465	0.0328075	0.070462	0.113518
a58	0.294849	0.257135	0.142507	0.0778707	0.0481588	0.0366049	0.0350026	0.0246502	0.0159323	0.0164858	0.0238277	0.0269747
a53	0.208818	0.216465	0.156692	0.118475	0.0695792	0.0505744	0.0402048	0.0290255	0.0216026	0.0209302	0.0307173	0.036916
a69	0.145889	0.176938	0.15718	0.144151	0.0987271	0.0777533	0.0665786	0.0407345	0.0248793	0.0195102	0.0226545	0.0250047
a44	0.0925924	0.133725	0.13639	0.150268	0.114108	0.0936531	0.0821444	0.052531	0.0352967	0.0294588	0.0370592	0.0427729
a62	0.0830436	0.102736	0.122724	0.158506	0.130077	0.111122	0.0905894	0.0512992	0.0353227	0.0315768	0.0391838	0.0438187
a96	0.082939	0.0877216	0.109342	0.148164	0.132842	0.130431	0.110503	0.0602332	0.0380012	0.0327956	0.0329753	0.0340521
a70	0.0472337	0.0553784	0.0848027	0.133672	0.138496	0.146729	0.135443	0.0820385	0.0507866	0.0409342	0.0406173	0.0438692
a93	0.0320598	0.0349226	0.0586126	0.10873	0.134348	0.157462	0.150909	0.10135	0.0649433	0.0512954	0.0504229	0.0549444
a56	0.0347139	0.0355431	0.0559273	0.105757	0.133173	0.155209	0.16343	0.109021	0.063866	0.0472418	0.0469691	0.0491494
a11	0.0226318	0.0230704	0.0369373	0.074322	0.107264	0.123905	0.126568	0.112513	0.10659	0.0973849	0.0882329	0.0805797
a93	0.0205817	0.0187649	0.0259453	0.055426	0.106266	0.154469	0.175192	0.139252	0.0959594	0.074099	0.0670479	0.0669961
a94	0.0177978	0.0167397	0.0251973	0.0538655	0.103858	0.133633	0.153322	0.149682	0.118801	0.0944606	0.073821	0.0588226
a93	0.0144004	0.0131307	0.0185979	0.0384604	0.0840424	0.121278	0.149345	0.168142	0.13516	0.103577	0.0845726	0.0692938
a4	0.0166548	0.0136205	0.0172352	0.0327699	0.072185	0.110555	0.14449	0.174906	0.147405	0.108189	0.0878804	0.0741094
a53	0.0112184	0.0105865	0.014291	0.026962	0.0595894	0.0891605	0.116643	0.165917	0.162371	0.132455	0.114578	0.0962285
a69	0.00869753	0.00951242	0.0135475	0.0248322	0.0560398	0.0841668	0.106697	0.155338	0.164068	0.142775	0.127692	0.106635
a56	0.00593322	0.00681404	0.00979013	0.018344	0.0412817	0.0598194	0.0723048	0.118602	0.145395	0.150507	0.184109	0.187099
a90	0.00233879	0.00279322	0.00401593	0.00757841	0.0202281	0.0346446	0.0504518	0.10221	0.155991	0.178213	0.210665	0.23087
a69	0.00227407	0.00262078	0.00384173	0.00742817	0.0183872	0.0297195	0.0377145	0.0731484	0.11909	0.162394	0.247198	0.296184
a58	0.00156528	0.00207258	0.00309379	0.00593246	0.0148315	0.0208753	0.0235316	0.0514175	0.0995633	0.16153	0.283483	0.332103
a4	0.00135889	0.00139691	0.00164089	0.0026566	0.00560019	0.0104414	0.0146525	0.036352	0.0806488	0.163486	0.333117	0.348648
a57	0.00272542	0.0031457	0.00328766	0.00481166	0.00867355	0.0152271	0.0224095	0.0472492	0.0884461	0.156664	0.326738	0.320622
a38	0.00149785	0.00140428	0.00137645	0.00200386	0.00319059	0.00510875	0.00716296	0.0203082	0.0581616	0.155278	0.368605	0.375902
a10	0.00233789	0.00231139	0.00227302	0.00307383	0.00453971	0.00625272	0.00842807	0.0249544	0.070366	0.176947	0.364896	0.333619
a38	0.0224368	0.0136984	0.0114327	0.0122834	0.0132987	0.0130377	0.016015	0.0402015	0.0961054	0.203058	0.294584	0.263848
a4	0.0132719	0.00957785	0.00970699	0.0100165	0.010441	0.00971492	0.0115547	0.0326819	0.0888181	0.194762	0.329637	0.279817
a13	0.00481051	0.00396482	0.00448895	0.00530068	0.00694513	0.00813696	0.0102064	0.0292555	0.0751484	0.174448	0.347368	0.329926
a3	0.00308691	0.00268197	0.002897	0.00362	0.00483334	0.00559374	0.00708478	0.0214474	0.0625402	0.160703	0.348113	0.377398
a97	0.0312729	0.0158815	0.0141964	0.0131723	0.0147233	0.0140219	0.0170115	0.0338142	0.0688088	0.144673	0.277606	0.354818
a87	0.0928294	0.0420483	0.0337224	0.0256577	0.0267512	0.0263803	0.0318695	0.0477567	0.0731797	0.132544	0.217701	0.24956
a97	0.0621473	0.0345252	0.0307142	0.0265062	0.0304032	0.0311391	0.0369501	0.0591424	0.09172	0.152101	0.217715	0.226937
a82	0.028848	0.0198184	0.022567	0.0215004	0.0340578	0.0356955	0.0379529	0.0590415	0.0835596	0.139261	0.230252	0.287446
</S>	0.0202055	0.0163285	0.0230224	0.0249946	0.0387629	0.0381662	0.0376491	0.0535457	0.0725837	0.125138	0.236131	0.313473
