 	itoua	est	le	meilleur	des	garçons	</S>
a87	0.19634	0.165859	0.166448	0.350704	0.0928909	0.020358	0.00739964
a23	0.528227	0.175836	0.056793	0.0722028	0.0769281	0.0571759	0.0328369
a87	0.380477	0.204501	0.155443	0.152534	0.0679973	0.023419	0.0156288
a23	0.382411	0.219065	0.184263	0.111321	0.0581707	0.0256674	0.0191018
a83	0.409183	0.221812	0.147921	0.0977106	0.0670224	0.0310882	0.0252628
a9	0.403482	0.246962	0.129665	0.0562223	0.0348151	0.0565055	0.072348
a38	0.235243	0.210077	0.145997	0.138457	0.107068	0.0831087	0.080049
a90	0.271962	0.228458	0.151501	0.0953681	0.0929138	0.0813119	0.0784856
a76	0.305861	0.229555	0.186576	0.0782119	0.0502337	0.0632641	0.0862987
a41	0.181539	0.163378	0.178207	0.0975295	0.0637513	0.137452	0.178143
a37	0.192923	0.215744	0.256832	0.118307	0.0495902	0.0712979	0.0953071
a61	0.173244	0.196781	0.260463	0.127856	0.0560194	0.0811484	0.104489
a75	0.142958	0.159071	0.215085	0.136139	0.0681325	0.118031	0.160583
a66	0.147746	0.165756	0.21558	0.124732	0.0469337	0.104089	0.195164
a18	0.0990808	0.123052	0.214061	0.190309	0.0700125	0.116952	0.186533
a53	0.0275287	0.0338848	0.0811122	0.161412	0.124836	0.213334	0.357893
a13	0.0760135	0.0810363	0.152659	0.196016	0.0686152	0.132044	0.293616
a9	0.05284	0.0538795	0.0967508	0.187733	0.11733	0.173065	0.318401
a53	0.0138866	0.0138787	0.0284599	0.0859131	0.124248	0.334855	0.398759
a90	0.0319346	0.0245594	0.0330574	0.0632238	0.0916965	0.234145	0.521383
a85	0.0180436	0.0153164	0.0194171	0.0397379	0.0848115	0.345074	0.4776
a47	0.0160137	0.0129291	0.0132586	0.0242857	0.0618407	0.298616	0.573057
a44	0.00945627	0.00847054	0.00903147	0.0144187	0.0433854	0.316616	0.598622
a26	0.00458236	0.00354416	0.00363226	0.00737274	0.0341962	0.255192	0.69148
a54	0.00450701	0.00240242	0.00212971	0.00775258	0.0410431	0.285801	0.656364
a36	0.00155496	0.000774854	0.000835091	0.00254174	0.0284505	0.317729	0.648113
a2	0.000960277	0.000444032	0.000341162	0.00137602	0.016401	0.235323	0.745155
a57	0.0312857	0.0119696	0.00534854	0.0113321	0.0353657	0.259943	0.644756
a87	0.0542519	0.0273912	0.0116577	0.0191036	0.0642737	0.271237	0.552085
a23	0.125267	0.0920584	0.0505105	0.103782	0.147737	0.228511	0.252134
a87	0.0386811	0.0368222	0.0239353	0.0702227	0.208089	0.306445	0.315804
a23	0.00979198	0.00906459	0.00889818	0.0329394	0.110108	0.308689	0.520509
</S>	0.0138721	0.0125013	0.0116218	0.0371013	0.139203	0.342626	0.443074
