 	c'	est	un	parent	par	alliance	</S>
a10	0.379059	0.165707	0.113398	0.117561	0.102368	0.0878501	0.0340566
a87	0.148995	0.0802836	0.102023	0.16319	0.16247	0.196069	0.146969
a23	0.262741	0.148724	0.150886	0.141758	0.10534	0.112401	0.0781505
a40	0.215761	0.14069	0.128074	0.157168	0.153851	0.127138	0.0773173
a30	0.479141	0.193055	0.0963132	0.0793305	0.0514299	0.0581747	0.0425551
a41	0.285875	0.242911	0.164395	0.136485	0.0614518	0.0815039	0.0273788
a26	0.243655	0.234296	0.18025	0.1371	0.0701671	0.0891707	0.045361
a98	0.24304	0.229971	0.172609	0.123306	0.0785056	0.0946013	0.0579671
a66	0.158747	0.165993	0.162487	0.14497	0.126405	0.136559	0.10484
a38	0.129668	0.127717	0.129741	0.125546	0.147055	0.165554	0.174719
a56	0.109717	0.110081	0.110633	0.115653	0.151023	0.19102	0.211874
a90	0.104237	0.0874269	0.0813834	0.102195	0.152496	0.208089	0.264174
a76	0.089894	0.0764823	0.0776912	0.10213	0.165793	0.206361	0.281648
a94	0.039638	0.0293242	0.0370505	0.0749822	0.160979	0.240278	0.417749
a25	0.021679	0.0141881	0.0149596	0.0418624	0.126805	0.214228	0.566278
a87	0.00846034	0.00546799	0.00818905	0.0302041	0.125216	0.215139	0.607323
</S>	0.00453035	0.00316864	0.00595427	0.0234934	0.114541	0.205241	0.643071
