 	il	se	met	à	l'	abri	du	soleil	</S>
a23	0.164323	0.171577	0.148321	0.101764	0.0972464	0.0858373	0.0715165	0.0856545	0.0737604
a53	0.097111	0.0927877	0.0822164	0.0796483	0.103054	0.130727	0.131655	0.144983	0.137817
a76	0.230446	0.204252	0.171277	0.113553	0.0893662	0.0830691	0.0413647	0.0338108	0.0328607
a14	0.416089	0.263569	0.144417	0.0643151	0.0384333	0.037255	0.014552	0.0115897	0.00977993
a35	0.3951	0.250015	0.155832	0.0788135	0.0469399	0.0377133	0.0138951	0.0115758	0.0101154
a14	0.369244	0.238511	0.164025	0.0902149	0.0553813	0.0428613	0.0149324	0.0128247	0.0120045
a41	0.313481	0.227258	0.177576	0.104984	0.0722818	0.0537956	0.0205359	0.0156341	0.0144529
a27	0.25852	0.21417	0.184742	0.119953	0.0868798	0.0669835	0.0262184	0.021239	0.0212935
a57	0.187821	0.171585	0.167419	0.124801	0.105645	0.106922	0.0436182	0.0438428	0.0483463
a38	0.102175	0.113475	0.126153	0.116223	0.133062	0.17547	0.0851081	0.0750891	0.0732452
a41	0.14661	0.151133	0.161544	0.134079	0.128965	0.128945	0.0578797	0.0481411	0.0427024
a35	0.165743	0.160089	0.147089	0.120796	0.112753	0.109278	0.0661717	0.063401	0.0546795
a76	0.104108	0.109961	0.11591	0.113702	0.11899	0.126572	0.100067	0.108321	0.102369
a94	0.0529405	0.0614258	0.0769274	0.0954008	0.115724	0.133797	0.141596	0.168291	0.153898
a76	0.0194054	0.0255343	0.0362515	0.0587905	0.0915305	0.127489	0.172448	0.238627	0.229924
a41	0.0180232	0.024285	0.0350273	0.0583624	0.0865652	0.111515	0.173965	0.251798	0.24046
a43	0.0108402	0.0145142	0.0195052	0.0337129	0.0584497	0.0881894	0.166279	0.288614	0.319895
a0	0.00415158	0.00586824	0.00852631	0.0155807	0.0316394	0.0604152	0.15024	0.324799	0.39878
a47	0.00156211	0.00213879	0.00327441	0.00777719	0.0180174	0.0402473	0.131321	0.331846	0.463815
a62	0.000793502	0.00109463	0.00175997	0.00477458	0.0121351	0.0300967	0.119353	0.339918	0.490074
a83	0.000606476	0.000816721	0.00131103	0.00394579	0.0107585	0.0285431	0.128633	0.342352	0.483033
a9	0.000820856	0.0011597	0.0019526	0.00714523	0.020811	0.0510717	0.152019	0.321876	0.443143
a87	0.000876814	0.0015193	0.00322407	0.0119258	0.0356171	0.0756747	0.168805	0.309926	0.392431
a23	0.00577248	0.00741252	0.010899	0.0271373	0.0640501	0.105872	0.190863	0.279782	0.308212
a87	0.0112327	0.0128596	0.0165866	0.0365874	0.0753742	0.110757	0.186293	0.264674	0.285635
</S>	0.0134712	0.0181723	0.0267605	0.0539367	0.0886584	0.126109	0.172401	0.231338	0.269153
