 	le	récolteur	du	vin	de	palme	grimpe	sur	le	palmier	</S>
a66	0.348637	0.280235	0.185243	0.0757369	0.0383963	0.0217836	0.0120256	0.0135417	0.0120853	0.0063861	0.00592884
a87	0.248462	0.143317	0.156551	0.149639	0.114485	0.0909942	0.0372285	0.02031	0.0155178	0.0111399	0.0123552
a23	0.261205	0.19204	0.197322	0.128817	0.093137	0.0644374	0.0254028	0.0114243	0.00846246	0.00820695	0.00954498
a58	0.143832	0.137396	0.155422	0.110984	0.100331	0.0983902	0.0464876	0.0295805	0.0506367	0.0577695	0.069169
a20	0.0799829	0.0779732	0.0881047	0.0853625	0.103184	0.123079	0.0826313	0.0624008	0.0829946	0.0923543	0.121933
a6	0.066769	0.0799572	0.107046	0.13727	0.175264	0.19054	0.103673	0.0444336	0.0330014	0.029988	0.0320576
a5	0.0759278	0.128055	0.156283	0.154987	0.15932	0.170402	0.0806336	0.0274201	0.0184912	0.0148952	0.0135849
a37	0.0275088	0.0445732	0.0942192	0.164121	0.198934	0.192717	0.106544	0.0509354	0.0449003	0.0379493	0.0375978
a93	0.0240374	0.0315757	0.0768348	0.145843	0.195589	0.20369	0.143669	0.063904	0.0442713	0.0358061	0.034779
a90	0.0191379	0.0233718	0.0567694	0.117681	0.174675	0.204463	0.194711	0.0799259	0.0471917	0.0411963	0.0408765
a56	0.020033	0.0285221	0.0713214	0.126543	0.155476	0.170662	0.170733	0.101347	0.061021	0.0481143	0.046227
a85	0.015226	0.0148388	0.0305538	0.0547954	0.086566	0.120278	0.236078	0.187425	0.101427	0.0758896	0.0769225
a6	0.0116052	0.0104929	0.0264211	0.0493047	0.0702017	0.0831482	0.146366	0.192169	0.176425	0.119544	0.114321
a37	0.0159021	0.0115985	0.0243361	0.0484989	0.0757037	0.0889266	0.156687	0.223457	0.171596	0.0979194	0.0853752
a5	0.0170431	0.0140844	0.0242831	0.0341799	0.0477537	0.0635869	0.118585	0.218802	0.197908	0.136088	0.127686
a79	0.00700937	0.00604285	0.00864361	0.0114491	0.0174418	0.0288216	0.0663419	0.172472	0.253582	0.210152	0.218044
a37	0.00816523	0.0062742	0.0109662	0.0163455	0.025193	0.0319479	0.0505621	0.139585	0.250866	0.224999	0.235096
a5	0.00538553	0.0039994	0.00652908	0.00859253	0.0137442	0.0199713	0.0383871	0.101187	0.19504	0.250015	0.35715
a18	0.00268219	0.00224581	0.00361279	0.00454697	0.00707541	0.0112762	0.0226934	0.0683079	0.18834	0.280211	0.409009
a71	0.00240915	0.0025936	0.00250804	0.00360308	0.00870659	0.0136123	0.0219407	0.0589982	0.11733	0.222637	0.545661
a25	0.0289263	0.0234918	0.0212421	0.0165998	0.0245892	0.03285	0.059223	0.126357	0.164742	0.192023	0.309956
a87	0.167379	0.0919219	0.0799795	0.0517447	0.0520869	0.0566807	0.0647597	0.0990423	0.0982929	0.105147	0.132965
a23	0.28089	0.22231	0.206698	0.108828	0.0632749	0.0339372	0.0173676	0.0186071	0.0184888	0.0141271	0.0154711
a87	0.209274	0.17034	0.165681	0.0926798	0.0533533	0.0392934	0.0235131	0.0393681	0.059667	0.0728391	0.0739915
a23	0.0425029	0.0383218	0.0504037	0.0522675	0.0435372	0.0425418	0.0378121	0.0841556	0.163207	0.201489	0.243762
a87	0.0632121	0.0501637	0.0678019	0.0569907	0.0405133	0.0365602	0.0301452	0.0805146	0.144522	0.191268	0.238308
</S>	0.0337007	0.0317454	0.055185	0.0474586	0.0328087	0.0325238	0.0357886	0.0994263	0.165839	0.210915	0.254609
