 	il	a	trouvé	une	astuce	pour	faire	faire	son	travail	par	son	frère	</S>
a23	0.309667	0.1914	0.107425	0.0690065	0.0517378	0.0276714	0.0254268	0.0240899	0.0219136	0.0220131	0.0241222	0.0275638	0.0406755	0.057287
a79	0.231401	0.178372	0.101663	0.0731702	0.0875435	0.0650872	0.0470786	0.0346434	0.0293417	0.0261839	0.0231708	0.022268	0.0321932	0.0478839
a20	0.198382	0.160354	0.101395	0.0731112	0.0920692	0.0827564	0.0743788	0.0535069	0.0421461	0.0261027	0.0213467	0.0184928	0.0234881	0.0324702
a58	0.378369	0.262322	0.126979	0.0637183	0.0419931	0.0263282	0.0294664	0.0220982	0.0165013	0.0111077	0.00685543	0.00475618	0.00431703	0.00518865
a94	0.248689	0.213999	0.136173	0.0923658	0.104327	0.0623336	0.0505376	0.0322524	0.0201677	0.0112261	0.00731955	0.00601826	0.00654351	0.00804717
a98	0.160953	0.164117	0.144442	0.127954	0.132092	0.0852526	0.0605778	0.0401585	0.0266504	0.0160756	0.0106602	0.00906516	0.00994297	0.0120597
a71	0.130756	0.1412	0.152702	0.141231	0.112902	0.084186	0.0650677	0.0491848	0.0367537	0.0251457	0.0161198	0.0136851	0.0145215	0.0165446
a9	0.107819	0.117358	0.162732	0.15945	0.136738	0.094447	0.0595212	0.0407738	0.030058	0.0204452	0.0148125	0.0147219	0.0184896	0.0226347
a38	0.0649656	0.0617587	0.0951219	0.108915	0.142229	0.138743	0.0920512	0.0676661	0.0490385	0.0346434	0.026708	0.0260999	0.0386904	0.0533692
a75	0.0479843	0.0428267	0.075847	0.0978098	0.143591	0.146498	0.111582	0.0825647	0.058557	0.0379427	0.0294947	0.0284703	0.0417996	0.0550326
a73	0.0648016	0.0617254	0.103017	0.112203	0.120433	0.117414	0.103576	0.0810945	0.0673919	0.0481545	0.0319944	0.0263196	0.0296922	0.0321829
a41	0.0590843	0.0546246	0.0904856	0.103199	0.122718	0.126403	0.107912	0.0739903	0.0595945	0.0457307	0.0330112	0.0291683	0.0417752	0.0523037
a12	0.0412918	0.0356966	0.058045	0.069141	0.0973836	0.127787	0.125265	0.0875345	0.0759641	0.0586321	0.0463116	0.0431487	0.0613923	0.0724068
a24	0.0482238	0.0415937	0.0556017	0.0584128	0.0784039	0.120612	0.146182	0.111824	0.0910002	0.0674701	0.0411134	0.0342464	0.0461484	0.0591667
a41	0.0343027	0.0323864	0.0373962	0.036926	0.0538929	0.095739	0.136834	0.128719	0.115382	0.0917941	0.0551413	0.0441089	0.0602872	0.0770907
a94	0.0359884	0.0332461	0.0390281	0.0408974	0.0575993	0.0936112	0.125341	0.112954	0.103993	0.0811874	0.0586779	0.0527775	0.0734097	0.0912886
a70	0.0356343	0.0313925	0.0371754	0.0400213	0.0570242	0.0808951	0.104898	0.102551	0.106885	0.0913548	0.0726403	0.0645625	0.0811083	0.0938569
a98	0.0362548	0.0324157	0.0340585	0.0338295	0.0490255	0.069167	0.094772	0.10233	0.116378	0.111146	0.0847414	0.0712046	0.0794012	0.0852757
a71	0.0194723	0.0163224	0.0210368	0.0269223	0.0512883	0.0826775	0.102303	0.0999579	0.115156	0.096861	0.0937688	0.083546	0.0944492	0.0962382
a9	0.0213265	0.0170607	0.0176819	0.0195718	0.0402146	0.0726841	0.0926275	0.0969819	0.120762	0.11803	0.106245	0.0793231	0.0911334	0.106358
